latitude; longitude;name
-33.3637463;-70.764925;PB1667
-33.36323406;-70.76179389;PB1668
-33.3629094;-70.759546;PB541
-33.36257144;-70.757668;PB534
-33.36207836;-70.7549099;PB535
-33.36345052;-70.7534;PB574
-33.36442408;-70.75310195;PB623
-33.36494262;-70.74949303;PB624
-33.36525564;-70.74723;PB625
-33.36562268;-70.745136;PB626
-33.36600672;-70.743027;PB627
-33.36637477;-70.740433;PB628
-33.36671586;-70.73811787;PB629
-33.36718794;-70.73426889;PB404
-33.36823593;-70.731873;PB405
-33.36946407;-70.72968611;PB1721
-33.36848;-70.727888;PB630
-33.36900705;-70.725366;PB631
-33.36973009;-70.722932;PB632
-33.37030712;-70.72116;PB633
-33.37144019;-70.717565;PB634
-33.37228123;-70.714921;PB635
-33.37229026;-70.713305;PB1530
-33.37139336;-70.707989;PB468
-33.37022153;-70.698824;PB416
-33.37385255;-70.69712;PB417
-33.37679758;-70.695793;PB418
-33.38416834;-70.69248479;PB419
-33.3895511;-70.69006352;PB420
-33.39500987;-70.68700093;PB1691
-33.39911051;-70.68454238;PB421
-33.40276858;-70.6823807;PB422
-33.4073693;-70.68040784;PB423
-33.41010967;-70.6800491;PB424
-33.41422986;-70.679528;PB425
-33.41598013;-70.67920852;PB426
-33.41807448;-70.67881223;PB427
-33.42122011;-70.67582348;PB428
-33.4247801;-70.67247186;PB429
-33.43750818;-70.660399;PA667
-33.43929312;-70.6587144;PA252
-33.43898825;-70.655527;PA83
-33.4387493;-70.652776;PA253
-33.43840198;-70.64992233;PA254
-33.43817539;-70.647281;PA255
-33.43786944;-70.644282;PA256
-33.43696551;-70.639903;PA257
-33.43811756;-70.63631;PA170
-33.44021678;-70.6346555;PA171
-33.43758158;-70.634966;PC145
-33.43653019;-70.64259247;PA259
-33.43551615;-70.64559694;PA260
-33.43583937;-70.648354;PA261
-33.43611559;-70.65117085;PA262
-33.43649583;-70.65463033;PA263
-33.43676571;-70.65681587;PA699
-33.43699095;-70.65896159;PA303
-33.43611319;-70.659766;PA245
-33.43478518;-70.659942;PA265
-33.42781011;-70.664241;PB430
-33.42669206;-70.667342;PB1525
-33.425469;-70.670803;PB431
-33.42147895;-70.674462;PB432
-33.41848888;-70.677927;PB433
-33.41625787;-70.678507;PB434
-33.41448741;-70.6787305;PB435
-33.40918003;-70.67956603;PB436
-33.40609859;-70.68001853;PB437
-33.4033307;-70.68137416;PB1559
-33.39789371;-70.68461942;PB439
-33.39531574;-70.686201;PB440
-33.39334331;-70.68736814;PB441
-33.38993817;-70.68925645;PB442
-33.38330106;-70.69134819;PB443
-33.37889762;-70.693301;PB444
-33.37447258;-70.695295;PB445
-33.37208081;-70.69635645;PB446
-33.37033348;-70.70728545;PB531
-33.37255531;-70.710813;PB469
-33.37235424;-70.714705;PB571
-33.37152199;-70.71700196;PB636
-33.37030212;-70.72083;PB637
-33.3697681;-70.722478;PB638
-33.36902205;-70.724879;PB639
-33.36806002;-70.726879;PB640
-33.36938073;-70.729625;PB1720
-33.36848194;-70.73137;PB1669
-33.36725132;-70.73384019;PB458
-33.3663065;-70.73701463;PB459
-33.36635978;-70.73957;PB641
-33.36595372;-70.742555;PB642
-33.36519164;-70.746934;PB643
-33.36486215;-70.74902263;PB644
-33.36428251;-70.75234135;PB645
-33.36363952;-70.753071;PB646
-33.36208451;-70.753735;PB599
-33.36215844;-70.757124;PB568
-33.36252441;-70.75927;PB1595
-33.36313435;-70.761897;PB1665
-33.36367529;-70.765078;PB1666
